Category,Correlation
HOUSE_AND_HOME,0.37
EDUCATION,0.24
SHOPPING,0.19
MAPS_AND_NAVIGATION,0.17
WEATHER,0.16
PERSONALIZATION,0.14
PHOTOGRAPHY,0.14
DATING,0.12
GAME,0.12
TOOLS,0.11
AUTO_AND_VEHICLES,0.11
FOOD_AND_DRINK,0.11
PRODUCTIVITY,0.1
ENTERTAINMENT,0.09
VIDEO_PLAYERS,0.09
ART_AND_DESIGN,0.08
COMMUNICATION,0.08
MEDICAL,0.08
COMICS,0.08
TRAVEL_AND_LOCAL,0.07
SPORTS,0.07
FINANCE,0.05
BUSINESS,0.05
FAMILY,0.05
HEALTH_AND_FITNESS,0.05
LIFESTYLE,0.03
PARENTING,0.01
SOCIAL,0.01
NEWS_AND_MAGAZINES,-0.01
BOOKS_AND_REFERENCE,-0.06
BEAUTY,-0.07
LIBRARIES_AND_DEMO,-0.16
EVENTS,-0.24
