,App,Category,Installs,Rating,Reviews,Price
2545,Instagram,SOCIAL,1000000000.0,4.5,66577313.0,0.0
2544,Facebook,SOCIAL,1000000000.0,4.1,78158306.0,0.0
5395,Google Photos,PHOTOGRAPHY,1000000000.0,4.5,10847682.0,0.0
2604,Instagram,SOCIAL,1000000000.0,4.5,66577446.0,0.0
4234,Skype - free IM & video calls,COMMUNICATION,1000000000.0,4.1,10484169.0,0.0
9844,Google News,NEWS_AND_MAGAZINES,1000000000.0,3.9,878065.0,0.0
4153,Hangouts,COMMUNICATION,1000000000.0,4.0,3419464.0,0.0
4170,Google Drive,PRODUCTIVITY,1000000000.0,4.4,2728941.0,0.0
4144,Google+,SOCIAL,1000000000.0,4.2,4828372.0,0.0
4150,Google,TOOLS,1000000000.0,4.4,8021623.0,0.0
