Category,Rating,Reviews,Installs,Success,Size,Price
SOCIAL,4.26,2398614.25,54323712.26,8043411740993376.0,19.17,0.01
COMMUNICATION,4.16,2486164.02,99534272.96,7283731926129222.0,12.46,0.17
VIDEO_PLAYERS,4.06,689873.08,38886857.5,1739541961223543.2,16.16,0.07
GAME,4.29,1445232.07,31983466.47,1568074909445303.8,45.34,0.26
PHOTOGRAPHY,4.19,673553.97,31824110.82,804705584861603.4,17.6,0.28
TRAVEL_AND_LOCAL,4.11,277069.79,30393182.74,642266537560278.4,25.25,0.17
TOOLS,4.05,372185.51,15600442.1,486724951765013.4,8.29,0.28
NEWS_AND_MAGAZINES,4.13,233475.96,32172577.9,420466771808333.8,13.13,0.02
PRODUCTIVITY,4.21,325118.85,40387664.33,315966707641194.8,12.9,0.2
ENTERTAINMENT,4.13,397168.82,19256107.38,309154221169389.25,21.85,0.05
SHOPPING,4.26,483365.68,13646351.01,175141604863813.34,17.11,0.02
FAMILY,4.19,234815.73,5871609.38,138394793734263.38,30.15,1.31
PERSONALIZATION,4.34,284540.81,7405582.58,106645066151287.06,11.63,0.41
MAPS_AND_NAVIGATION,4.05,247250.48,5840867.42,91645402002759.6,17.45,0.22
EDUCATION,4.39,255451.68,5621625.81,79588916066758.7,20.76,0.12
BOOKS_AND_REFERENCE,4.35,123363.26,10793773.34,60412631613894.38,14.39,0.13
SPORTS,4.22,222036.26,5489440.33,52688666533019.02,26.51,0.29
WEATHER,4.24,194729.27,5681286.67,30267451487438.67,13.41,0.39
HEALTH_AND_FITNESS,4.28,127587.95,5330155.62,20936341159854.41,24.24,0.15
BUSINESS,4.12,46053.09,3306165.41,7766630606689.1,14.91,0.25
LIFESTYLE,4.09,41024.74,1711978.09,4764078010355.61,15.37,6.24
FINANCE,4.13,54335.62,2713970.28,4179664969519.16,18.59,7.55
FOOD_AND_DRINK,4.17,81495.5,2511722.48,2970822237866.7,24.16,0.08
HOUSE_AND_HOME,4.2,52315.84,2218184.21,1915944837855.26,17.51,0.0
COMICS,4.16,58309.4,966139.66,1894093376187.93,13.16,0.0
ART_AND_DESIGN,4.36,27651.16,2003759.68,1650183168266.13,12.77,0.1
DATING,3.97,37389.94,1355359.54,1138350378970.51,18.31,0.12
PARENTING,4.3,19072.18,622322.2,646995640137.0,21.58,0.19
LIBRARIES_AND_DEMO,4.18,15900.54,955123.08,503668835443.08,12.49,0.0
AUTO_AND_VEHICLES,4.19,15940.14,727805.48,362090233300.0,21.54,0.03
BEAUTY,4.28,9407.93,640861.9,154715324695.24,15.51,0.0
EVENTS,4.44,3568.67,354431.33,35149532994.22,14.43,0.0
MEDICAL,4.19,4530.35,152015.93,29501464930.41,19.41,2.98
